Month,Number of active users,Number of jobs
2024-11,963,176042
2024-10,1363,327086
2024-09,1333,192223
2024-08,1186,208367
2024-07,1116,210999
2024-06,1130,183673
2024-05,1749,200373
2024-04,2346,223164
2024-03,2094,215844
2024-02,1367,192347
2024-01,1092,234865
2023-12,1027,150622
2023-11,1476,200075
2023-10,1358,195615
2023-09,1192,331769
2023-08,1093,156044
2023-07,1037,215964
2023-06,1094,228176
2023-05,1733,213501
2023-04,1761,207932
2023-03,1935,336783
2023-02,1182,291629
2023-01,954,124087
2022-12,962,92425
2022-11,1551,151247
2022-10,1220,159189
2022-09,1082,93549
2022-08,1245,162616
2022-07,799,86489
2022-06,1140,274577
2022-05,1260,248532
2022-04,1229,151931
2022-03,1712,163571
2022-02,619,122686
2022-01,555,75673
2021-12,554,108036
2021-11,910,117486
2021-10,834,203117
2021-09,733,325729
2021-08,666,147145
2021-07,505,74613
2021-06,800,64124
2021-05,1013,75952
2021-04,1079,70862
2021-03,1166,131319
2021-02,552,83538
2021-01,541,55282
2020-12,438,50935
2020-11,689,33656
2020-10,562,34134
2020-09,833,88438
2020-08,617,61045
2020-07,564,119949
2020-06,696,132329
2020-05,887,156942
2020-04,897,85733
2020-03,890,103751
2020-02,512,98680
2020-01,371,73057
2019-12,439,59971
2019-11,708,69197
2019-10,517,60967
2019-09,524,69196
2019-08,291,67353
2019-07,284,43598
2019-06,252,38616
2019-05,447,38825
2019-04,614,47555
2019-03,540,36927
2019-02,302,34203
2019-01,219,19135
2018-12,199,14904
2018-11,327,19204
2018-10,462,26444
2018-09,328,24715
2018-08,263,17310
2018-07,202,17565
2018-06,226,17641
2018-05,249,12865
2018-04,126,8092
2018-03,181,13050
2018-02,90,5278
2018-01,82,6202
2017-12,78,4217
2017-11,89,3961
2017-10,97,6577
2017-09,75,6160
2017-08,81,5153
2017-07,77,9481
2017-06,102,9454
2017-05,158,11066
2017-04,110,5174
2017-03,184,12133
2017-02,99,16564
2017-01,109,9886
2016-12,97,7094
2016-11,146,7759
2016-10,92,4750
2016-09,85,5601
2016-08,81,6569
2016-07,75,8310
2016-06,171,6256
2016-05,98,6072
2016-04,86,5381
2016-03,98,7199
2016-02,47,3168
2016-01,11,816
2015-12,2,117
2015-10,6,24
2015-09,88,254
2014-04,1,12